Original,Scrambled
fromfairestcreatureswedesireincreasethattherebybeautysrosemightneverdiebutastheripershouldbytimedeceasehistenderheirmightbearhismemorybutthoucontractedtothineownbrighteyesfeedstthylightsflamewithselfsubstantialfuelmakingafaminewhereabundanceliesthyselfthyfoetothysweetselftoocruelthouthatartnowtheworldsfreshornamentandonlyheraldtothegaudyspringwithinthineownbudburiestthycontentandtenderchurlmakstwasteinniggardingpitytheworldorelsethisgluttonbetoeattheworldsduebythegraveandthee,wgmowcjgbuqkgbcqegbuibrbujgbjlkgbcubqycqqybgbxfxbceqfugmubojvyqlbnbgrjbxeqcuqybgjsbguymezrxfqjobrbkbcubyjuqblrbgybjgojvyqxbcgyjuobomgfxeqqymekmlqgckqbrqmqyjlbmilxgjvyqbfbuwbbruqqyfzjvyquwzcobijqyubzwuexuqclqjczwebzocdjlvcwcojlbiybgbcxelrclkbzjbuqyfubzwqyfwmbqmqyfuibbqubzwqmmkgebzqymeqycqcgqlmiqybimgzruwgbuymglcoblqclrmlzfybgczrqmqybvcerfusgjlvijqyjlqyjlbmilxerxegjbuqqyfkmlqblqclrqblrbgkyegzocduqicuqbjlljvvcgrjlvsjqfqybimgzrmgbzubqyjuvzeqqmlxbqmbcqqybimgzrurebxfqybvgcnbclrqybb
whenfortywintersshallbesiegethybrowanddigdeeptrenchesinthybeautysfieldthyyouthsproudliverysogazedonnowwillbeatatteredweedofsmallworthheldthenbeingaskedwhereallthybeautylieswhereallthetreasureofthylustydaystosaywithinthineowndeepsunkeneyeswereanalleatingshameandthriftlesspraisehowmuchmorepraisedeservedthybeautysuseifthoucouldstanswerthisfairchildofmineshallsummycountandmakemyoldexcuseprovinghisbeautybysuccessionthinethisweretobenewmadewhenthouartoldandseethybloodwarmwhenthoufeelstitcold,tidrkjzqatfrqdzxxihggsdxfdpdqiaszjthroofpoddlqzdrcidxfrqiasdhyqaxkfdgoqiaajyqixlzjyogfbdzaxjphwdojrrjttfggsdhqhqqdzdotddojkxuhggtjzqiidgoqidrsdfrphxvdotidzdhggqiasdhyqagfdxtidzdhggqidqzdhxyzdjkqiagyxqaohaxqjxhatfqifrqifrdjtroddlxyrvdrdadxtdzdhrhggdhqfrpxihudhroqizfkqgdxxlzhfxdijtuyciujzdlzhfxdodxdzbdoqiasdhyqaxyxdfkqijycjygoxqhrxtdzqifxkhfzcifgojkufrdxihggxyuuacjyrqhrouhvduajgodncyxdlzjbfrpifxsdhyqasaxyccdxxfjrqifrdqifxtdzdqjsdrdtuhodtidrqijyhzqjgohroxddqiasgjjothzutidrqijykddgxqfqcjgo
lookinthyglassandtellthefacethouviewestnowisthetimethatfaceshouldformanotherwhosefreshrepairifnowthounotrenewestthoudostbeguiletheworldunblesssomemotherforwhereisshesofairwhoseunearedwombdisdainsthetillageofthyhusbandryorwhoishesofondwillbethetombofhisselflovetostopposteritythouartthymothersglassandsheintheecallsbackthelovelyaprilofherprimesothouthroughwindowsofthineageshaltseedespiteofwrinklesthisthygoldentimebutifthouliverememberednottobediesingleandthineimagedieswiththee,buuwhsdairbfccfsmdgbbdagtfygdaujqhgxgcdsuxhcdagdhzgdafdtfygcaujbmtunzfsudagnxaucgtngcanglfhnhtsuxdaujsudngsgxgcddaujmucdogrjhbgdagxunbmjsobgcccuzgzudagntunxagnghccagcutfhnxaucgjsgfngmxuzomhcmfhscdagdhbbfrgutdaiajcofsmniunxauhcagcutusmxhbbogdagduzoutahccgbtbuqgducdullucdgnhdidaujfnddaizudagncrbfccfsmcaghsdaggyfbbcofywdagbuqgbiflnhbutagnlnhzgcudaujdanujraxhsmuxcutdahsgfrgcafbdcggmgclhdgutxnhswbgcdahcdairubmgsdhzgojdhtdaujbhqgngzgzogngmsudduogmhgchsrbgfsmdahsghzfrgmhgcxhdadagg
unthriftylovelinesswhydostthouspenduponthyselfthybeautyslegacynaturesbequestgivesnothingbutdothlendandbeingfrankshelendstothosearefreethenbeauteousniggardwhydostthouabusethebounteouslargessgiventheetogiveprofitlessusurerwhydostthouusesogreatasumofsumsyetcanstnotliveforhavingtrafficwiththyselfalonethouofthyselfthysweetselfdostdeceivethenhowwhennaturecallstheetobegonewhatacceptableauditcanstthouleavethyunusedbeautymustbetombedwiththeewhichusedlivesthexecutortobe,lazoifczhjgetjfatxxkohwgxzzoglxbtawlbgazohxtjczohdtnlzhxjtsnuhanzlitxdtpltxzsfetxagzofasdlzwgzojtawnawdtfascinayxotjtawxzgzogxtnitcittzotadtnlztglxafssniwkohwgxzzoglndlxtzotdglaztglxjnistxxsfetazottzgsfetbigcfzjtxxlxlitikohwgxzzogllxtxgsitnznxlrgcxlrxhtzunaxzagzjfetcgionefaszinccfukfzozohxtjcnjgatzoglgczohxtjczohxkttzxtjcwgxzwtutfetzotaogkkotaanzlitunjjxzottzgdtsgatkonznuutbzndjtnlwfzunaxzzogljtnetzohlalxtwdtnlzhrlxzdtzgrdtwkfzozottkofuolxtwjfetxzotmtulzgizgdt
thosehoursthatwithgentleworkdidframethelovelygazewhereeveryeyedothdwellwillplaythetyrantstotheverysameandthatunfairwhichfairlydothexcelforneverrestingtimeleadssummerontohideouswinterandconfoundshimtheresapcheckedwithfrostandlustyleavesquitegonebeautyoersnowedandbarenesseverywherethenwerenotsummersdistillationleftaliquidprisonerpentinwallsofglassbeautyseffectwithbeautywerebereftnoritnornoremembrancewhatitwasbutflowersdistilledthoughtheywithwintermeetleesebuttheirshowtheirsubstancestilllivessweet,rcpukcpzwurctrsorclkgrvkspwdfofhwtikrckvpbkvyltjksckwkkbkwykykfprcfskvvsovvxvtyrckrywtgrurprckbkwyutiktgfrctrzghtowsconchtowvyfprckmnkvhpwgkbkwwkuroglroikvktfuuziikwpgrpcofkpzusogrkwtgfnpghpzgfucoirckwkutxnckndkfsorchwpurtgfvzuryvktbkuezorklpgkqktzrypkwugpskftgfqtwkgkuukbkwysckwkrckgskwkgpruziikwufourovvtropgvkhrtvoezofxwoupgkwxkgrogstvvuphlvtuuqktzryukhhknrsorcqktzryskwkqkwkhrgpworgpwgpwkikiqwtgnksctrorstuqzrhvpskwufourovvkfrcpzlcrckysorcsogrkwikkrvkkukqzrrckowucpsrckowuzqurtgnkurovvvobkuuskkr
thenletnotwintersraggedhanddefaceintheethysummererethoubedistilledmakesweetsomevialtreasurethousomeplacewithbeautystreasureereitbeselfkilledthatuseisnotforbiddenusurywhichhappiesthosethatpaythewillingloanthatsforthyselftobreedanothertheeortentimeshappierbeittenforonetentimesthyselfwerehappierthanthouartiftenofthinetentimesrefiguredtheethenwhatcoulddeathdoifthoushouldstdepartleavingtheelivinginposteritybenotselfwilledforthouartmuchtoofairtobedeathsconquestandmakewormsthineheir,ieotmoitjifstiowhwpzzoleptllogpuostieooiedhcrrowowoiejcnolshismmolrpaohfooihjrovspmiwophcwoiejchjroxmpuofsienopcidhiwophcwoowosinohomgasmmoliepichoshtjigjwnsllotchcwdfesueepxxsohiejhoiepixpdieofsmmstzmjptiepihgjwiedhomgijnwoolptjieowieoojwiotisrohepxxsownosiiotgjwjtoiotisrohiedhomgfowoepxxsowieptiejcpwisgiotjgiestoiotisrohwogszcwolieooieotfepiujcmllopieljsgiejchejcmlhiloxpwimopvstzieoomsvstzstxjhiowsidnotjihomgfsmmolgjwiejcpwircueijjgpswijnolopiehujtycohiptlrpaofjwrhiestoeosw
lointheorientwhenthegraciouslightliftsuphisburningheadeachundereyedothhomagetohisnewappearingsightservingwithlookshissacredmajestyandhavingclimbedthesteepupheavenlyhillresemblingstrongyouthinhismiddleageyetmortallooksadorehisbeautystillattendingonhisgoldenpilgrimagebutwhenfromhighmostpitchwithwearycarlikefeebleagehereelethfromthedaytheeyesforeduteousnowconvertedarefromhislowtractandlookanotherwaysothouthyselfoutgoinginthynoonunlookedondiestunlessthougetason,zyinpwsycisnplwsnpwstcbuiygrzitwpzivprgawirjgcnintwsbmsbuwgnmscsqsmypwwydbtspywirnslbaasbcintritwprschintlipwzyyxrwirrbucsmdbosrpqbnmwbhintuzidjsmpwsrpssagawsbhsnzqwizzcsrsdjzintrpcyntqygpwinwirdimmzsbtsqspdycpbzzyyxrbmycswirjsbgpqrpizzbppsnmintynwirtyzmsnaiztcidbtsjgplwsnvcydwitwdyrpaipuwlipwlsbcqubczixsvssjzsbtswscsszspwvcydpwsmbqpwssqsrvycsmgpsygrnyluynhscpsmbcsvcydwirzylpcbupbnmzyyxbnypwsclbqrypwygpwqrszvygptyintinpwqnyyngnzyyxsmynmisrpgnzsrrpwygtspbryn
musictohearwhyhearstthoumusicsadlysweetswithsweetswarnotjoydelightsinjoywhylovstthouthatwhichthoureceivstnotgladlyorelsereceivstwithpleasurethineannoyifthetrueconcordofwelltunedsoundsbyunionsmarrieddooffendthineeartheydobutsweetlychidetheewhoconfoundsinsinglenessthepartsthatthoushouldstbearmarkhowonestringsweethusbandtoanotherstrikeseachineachbymutualorderingresemblingsireandchildandhappymotherwhoallinoneonepleasingnotedosingwhosespeechlesssongbeingmanyseemingonesingsthistotheethousinglewiltprovenone,aoqulrfzwxptzdzwxpqrrzfoaoqulqxjsdqtwwrqturzqtwwrqtxpkfrvfdjwsumzrqukvfdtzdsfnqrrzforzxrtzulzrzfopwlwunqrkfrmsxjsdfpwsqwpwlwunqrturzeswxqopwrzukwxkkfduyrzwrpowlfklfpjfytwssrokwjqfokjqcdokufkqaxppuwjjffyywkjrzukwwxprzwdjfcorqtwwrsdlzujwrzwwtzflfkyfokjqukqukmswkwqqrzwexprqrzxrrzfoqzfosjqrcwxpaxpgzftfkwqrpukmqtwwrzoqcxkjrfxkfrzwpqrpugwqwxlzukwxlzcdaoroxsfpjwpukmpwqwacsukmqupwxkjlzusjxkjzxeedafrzwptzfxssukfkwfkweswxqukmkfrwjfqukmtzfqwqewwlzswqqqfkmcwukmaxkdqwwaukmfkwqukmqrzuqrfrzwwrzfoqukmswtusrepfnwkfkw
isitforfeartowetawidowseyethatthouconsumstthyselfinsinglelifeahifthouissuelessshalthaptodietheworldwillwailtheelikeamakelesswifetheworldwillbethywidowandstillweepthatthounoformoftheehastleftbehindwheneveryprivatewidowwellmaykeepbychildrenseyesherhusbandsshapeinmindlookwhatanunthriftintheworlddothspendshiftsbuthisplaceforstilltheworldenjoysitbutbeautyswastehathintheworldanendandkeptunusedtheusersodestroysitnolovetowardothersinthatbosomsitsthatonhimselfsuchmurdrousshamecommits,iuidkvtkletdvbldebisvbuloldaeddavjhvfujcuddaoulykifuifnylyikleaikdavjiuujlyluuuaeydaewdvsildalbvtysbiyybeiydallyiqleceqlyluubikldalbvtysbiyygldaobisvbefsudiyybllwdaeddavjfvkvtcvkdallaeudylkdglaifsbalflzltowtizedlbisvbblyyceoqllwgohaiystlfulolualtajugefsuuaewlifcifsyvvqbaedefjfdatikdifdalbvtyssvdauwlfsuaikdugjdaiuwyehlkvtudiyydalbvtyslfrvouidgjdglejdoubeudlaedaifdalbvtyseflfsefsqlwdjfjulsdaljultuvsludtvouidfvyvzldvbetsvdaltuifdaedgvuvcuidudaedvfaiculykujhacjtstvjuuaeclhvccidu
forshamedenythatthoubearstlovetoanywhoforthyselfartsounprovidentgrantifthouwiltthouartbelovedofmanybutthatthounonelovstismostevidentforthouartsopossessedwithmurdroushatethatgainstthyselfthoustickstnottoconspireseekingthatbeauteousrooftoruinatewhichtorepairshouldbethychiefdesireochangethythoughtthatimaychangemymindshallhatebefairerlodgedthangentlelovebeasthypresenceisgraciousandkindortothyselfatleastkindheartedprovemaketheeanotherselfforloveofmethatbeautystillmayliveinthineorthee,xbvcngwkhkjadngddnbeikgvcdsbrkdbgjalnbxbvdnacksxgvdcbejtvbrphkjdovgjdpxdnbelpsddnbegvdiksbrkhbxwgjaieddngddnbejbjksbrcdpcwbcdkrphkjdxbvdnbegvdcbtbcckcckhlpdnwevhvbecngdkdngdogpjcddnacksxdnbecdpfzcdjbddbfbjctpvkckkzpjodngdikgedkbecvbbxdbvepjgdklnpfndbvktgpvcnbeshikdnafnpkxhkcpvkbfngjokdnadnbeonddngdpwgafngjokwawpjhcngssngdkikxgpvkvsbhokhdngjokjdsksbrkikgcdnatvkckjfkpcovgfpbecgjhzpjhbvdbdnacksxgdskgcdzpjhnkgvdkhtvbrkwgzkdnkkgjbdnkvcksxxbvsbrkbxwkdngdikgedacdpsswgasprkpjdnpjkbvdnkk
